Class,TP,TN,FP,FN,Precision,Recall,F1-Score,Accuracy
accountant,54,1848,12,6,0.8181818181818182,0.9,0.8571428571428572,0.990625
application developer,39,1848,12,21,0.7647058823529411,0.65,0.7027027027027027,0.9828125
auditor,37,1855,5,23,0.8809523809523809,0.6166666666666667,0.7254901960784315,0.9854166666666667
bookkeeper,60,1852,8,0,0.8823529411764706,1.0,0.9375,0.9958333333333333
chef,58,1860,0,2,1.0,0.9666666666666667,0.983050847457627,0.9989583333333333
clerk,59,1860,0,1,1.0,0.9833333333333333,0.9915966386554621,0.9994791666666667
college professor,60,1860,0,0,1.0,1.0,1.0,1.0
customer service representative,60,1860,0,0,1.0,1.0,1.0,1.0
database administrator,56,1855,5,4,0.9180327868852459,0.9333333333333333,0.9256198347107439,0.9953125
event planner,118,1797,3,2,0.9752066115702479,0.9833333333333333,0.979253112033195,0.9973958333333334
financial advisor,58,1860,0,2,1.0,0.9666666666666667,0.983050847457627,0.9989583333333333
financial manager,56,1850,10,4,0.8484848484848485,0.9333333333333333,0.888888888888889,0.9927083333333333
graphic designer,60,1860,0,0,1.0,1.0,1.0,1.0
hotel and restaurant staff,57,1856,4,3,0.9344262295081968,0.95,0.9421487603305784,0.9963541666666667
hr manager,48,1845,15,12,0.7619047619047619,0.8,0.7804878048780488,0.9859375
illustrator,60,1860,0,0,1.0,1.0,1.0,1.0
medical assistant,50,1848,12,10,0.8064516129032258,0.8333333333333334,0.819672131147541,0.9885416666666667
medical doctor,44,1853,7,16,0.8627450980392157,0.7333333333333333,0.7927927927927927,0.9880208333333333
medical laboratory technologist,58,1854,6,2,0.90625,0.9666666666666667,0.9354838709677419,0.9958333333333333
office manager,49,1859,1,11,0.98,0.8166666666666667,0.890909090909091,0.99375
pharmacist,58,1852,8,2,0.8787878787878788,0.9666666666666667,0.9206349206349207,0.9947916666666666
project coordinator,59,1858,2,1,0.9672131147540983,0.9833333333333333,0.9752066115702478,0.9984375
public relations,60,1860,0,0,1.0,1.0,1.0,1.0
recruiter,56,1849,11,4,0.835820895522388,0.9333333333333333,0.8818897637795275,0.9921875
registered nurse,52,1855,5,8,0.9122807017543859,0.8666666666666667,0.8888888888888888,0.9932291666666667
researcher,60,1860,0,0,1.0,1.0,1.0,1.0
software engineer,52,1850,10,8,0.8387096774193549,0.8666666666666667,0.8524590163934426,0.990625
sped teacher,60,1860,0,0,1.0,1.0,1.0,1.0
system analyst,46,1842,18,14,0.71875,0.7666666666666667,0.7419354838709677,0.9833333333333333
tutor,60,1860,0,0,1.0,1.0,1.0,1.0
web developer,56,1854,6,4,0.9032258064516129,0.9333333333333333,0.9180327868852459,0.9947916666666666
