Class,TP,TN,FP,FN,Precision,Recall,F1-Score,Accuracy
accountant,40,1852,8,20,0.8333333333333334,0.6666666666666666,0.7407407407407408,0.9854166666666667
application developer,36,1852,8,24,0.8181818181818182,0.6,0.6923076923076923,0.9833333333333333
auditor,39,1843,17,21,0.6964285714285714,0.65,0.6724137931034482,0.9802083333333333
bookkeeper,60,1851,9,0,0.8695652173913043,1.0,0.9302325581395349,0.9953125
chef,58,1860,0,2,1.0,0.9666666666666667,0.983050847457627,0.9989583333333333
clerk,59,1860,0,1,1.0,0.9833333333333333,0.9915966386554621,0.9994791666666667
college professor,60,1860,0,0,1.0,1.0,1.0,1.0
customer service representative,60,1860,0,0,1.0,1.0,1.0,1.0
database administrator,60,1843,17,0,0.7792207792207793,1.0,0.8759124087591241,0.9911458333333333
event planner,119,1794,6,1,0.952,0.9916666666666667,0.9714285714285714,0.9963541666666667
financial advisor,58,1860,0,2,1.0,0.9666666666666667,0.983050847457627,0.9989583333333333
financial manager,57,1848,12,3,0.8260869565217391,0.95,0.8837209302325583,0.9921875
graphic designer,60,1860,0,0,1.0,1.0,1.0,1.0
hotel and restaurant staff,54,1857,3,6,0.9473684210526315,0.9,0.9230769230769231,0.9953125
hr manager,48,1842,18,12,0.7272727272727273,0.8,0.761904761904762,0.984375
illustrator,60,1860,0,0,1.0,1.0,1.0,1.0
medical assistant,48,1846,14,12,0.7741935483870968,0.8,0.7868852459016393,0.9864583333333333
medical doctor,44,1853,7,16,0.8627450980392157,0.7333333333333333,0.7927927927927927,0.9880208333333333
medical laboratory technologist,58,1852,8,2,0.8787878787878788,0.9666666666666667,0.9206349206349207,0.9947916666666666
office manager,45,1858,2,15,0.9574468085106383,0.75,0.8411214953271028,0.9911458333333333
pharmacist,57,1852,8,3,0.8769230769230769,0.95,0.912,0.9942708333333333
project coordinator,59,1858,2,1,0.9672131147540983,0.9833333333333333,0.9752066115702478,0.9984375
public relations,60,1860,0,0,1.0,1.0,1.0,1.0
recruiter,56,1849,11,4,0.835820895522388,0.9333333333333333,0.8818897637795275,0.9921875
registered nurse,52,1856,4,8,0.9285714285714286,0.8666666666666667,0.896551724137931,0.99375
researcher,60,1860,0,0,1.0,1.0,1.0,1.0
software engineer,50,1839,21,10,0.704225352112676,0.8333333333333334,0.7633587786259541,0.9838541666666667
sped teacher,60,1860,0,0,1.0,1.0,1.0,1.0
system analyst,32,1850,10,28,0.7619047619047619,0.5333333333333333,0.6274509803921569,0.9802083333333333
tutor,60,1860,0,0,1.0,1.0,1.0,1.0
web developer,56,1850,10,4,0.8484848484848485,0.9333333333333333,0.888888888888889,0.9927083333333333
